table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of the Resident Population by Sex, Age, Race, and Hispanic Origin for the United States: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
Race Alone Group: Black or African American,,,,,,,,,,,,
"Sex, Age, and Hispanic Origin","April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
..65 years and over,"1,370,146","1,370,307","1,381,440","1,429,149","1,503,865","1,579,056","1,659,668","1,746,488","1,832,307","1,913,496","1,998,950","2,092,577"
..85 years and over,"108,451","108,481","109,946","115,047","120,705","125,209","130,714","137,352","142,863","148,598","155,180","161,831"
,,,,,,,,,,,,
..16 years and over,"14,181,655","14,184,298","14,243,969","14,483,347","14,714,986","14,935,607","15,159,262","15,382,587","15,609,747","15,814,685","15,994,079","16,166,110"
..18 years and over,"13,454,157","13,456,693","13,520,780","13,787,216","14,052,067","14,289,213","14,510,271","14,732,714","14,951,717","15,156,792","15,356,143","15,543,421"
..15 to 44 years,"8,693,664","8,695,444","8,717,119","8,793,084","8,890,715","8,984,323","9,080,639","9,171,556","9,255,244","9,331,754","9,403,577","9,484,514"
,,,,,,,,,,,,
..Median age (years),30.3,30.3,30.4,30.6,30.8,31.0,31.2,31.4,31.5,31.8,32.0,32.3
.FEMALE,"21,045,595","21,046,680","21,096,143","21,308,288","21,525,329","21,737,071","21,955,713","22,175,270","22,396,480","22,602,753","22,786,937","22,961,746"
..Under 5 years,"1,506,311","1,506,318","1,505,338","1,501,599","1,490,129","1,477,957","1,477,897","1,482,467","1,486,130","1,484,509","1,474,736","1,458,801"
..5 to 9 years,"1,483,489","1,483,497","1,480,430","1,478,361","1,492,637","1,513,472","1,523,180","1,527,608","1,526,217","1,516,936","1,505,469","1,504,849"
..10 to 14 years,"1,550,700","1,550,718","1,551,148","1,551,880","1,543,605","1,530,435","1,520,661","1,505,154","1,504,370","1,519,514","1,540,216","1,549,173"
..15 to 19 years,"1,756,659","1,756,759","1,747,040","1,696,474","1,651,726","1,616,309","1,588,083","1,583,110","1,585,234","1,577,603","1,563,759","1,553,023"
..20 to 24 years,"1,635,676","1,635,806","1,652,201","1,719,166","1,776,171","1,811,502","1,817,807","1,786,033","1,736,088","1,692,133","1,656,226","1,626,535"
..25 to 29 years,"1,511,200","1,511,295","1,512,523","1,524,616","1,540,275","1,568,659","1,623,933","1,690,614","1,760,764","1,818,256","1,851,846","1,855,461"
..30 to 34 years,"1,442,786","1,442,888","1,452,191","1,486,795","1,512,890","1,535,949","1,544,358","1,546,316","1,560,717","1,577,410","1,606,008","1,660,003"
..35 to 39 years,"1,434,691","1,434,781","1,430,638","1,400,367","1,396,567","1,404,529","1,432,489","1,472,499","1,508,531","1,535,216","1,557,916","1,565,644"
..40 to 44 years,"1,450,544","1,450,657","1,449,735","1,459,332","1,466,465","1,464,943","1,457,289","1,437,898","1,409,828","1,406,480","1,414,262","1,440,802"
..45 to 49 years,"1,533,878","1,533,962","1,532,355","1,518,835","1,498,206","1,475,530","1,448,027","1,441,611","1,452,697","1,460,467","1,459,101","1,451,345"
..50 to 54 years,"1,463,073","1,463,145","1,468,568","1,488,483","1,495,968","1,505,778","1,511,146","1,505,739","1,493,431","1,473,829","1,451,965","1,425,303"
..55 to 59 years,"1,215,926","1,215,971","1,225,863","1,267,210","1,318,260","1,358,664","1,392,606","1,425,470","1,445,462","1,453,237","1,462,890","1,468,538"
..60 to 64 years,"943,572","943,592","956,994","1,024,609","1,059,030","1,094,019","1,134,420","1,174,081","1,213,915","1,262,444","1,300,297","1,332,321"
..65 to 69 years,"668,427","668,451","672,949","693,713","743,348","788,515","841,946","900,348","963,160","994,447","1,026,689","1,064,201"
..70 to 74 years,"505,296","505,323","508,412","522,738","541,959","567,986","592,010","614,338","634,366","680,295","722,162","771,158"
..75 to 79 years,"384,108","384,144","386,195","398,211","407,818","418,145","429,085","442,665","456,359","473,402","496,793","518,159"
..80 to 84 years,"281,459","281,488","282,791","285,927","290,764","296,881","303,326","311,217","322,077","330,300","339,731","349,141"
..85 years and over,"277,800","277,885","280,772","289,972","299,511","307,798","317,450","328,102","337,134","346,275","356,871","367,289"
,,,,,,,,,,,,
..Under 18 years,"5,565,885","5,565,964","5,554,955","5,513,579","5,479,397","5,461,851","5,461,997","5,464,204","5,466,414","5,462,696","5,441,051","5,422,098"
...Under 5 years,"1,506,311","1,506,318","1,505,338","1,501,599","1,490,129","1,477,957","1,477,897","1,482,467","1,486,130","1,484,509","1,474,736","1,458,801"
...5 to 13 years,"2,721,197","2,721,213","2,721,029","2,719,734","2,724,897","2,733,468","2,724,884","2,721,161","2,728,205","2,737,889","2,744,763","2,750,415"
...14 to 17 years,"1,338,377","1,338,433","1,328,588","1,292,246","1,264,371","1,250,426","1,259,216","1,260,576","1,252,079","1,240,298","1,221,552","1,212,882"
..18 to 64 years,"13,362,620","13,363,425","13,410,069","13,604,148","13,762,532","13,895,895","14,009,899","14,114,396","14,216,970","14,315,338","14,403,640","14,469,700"
...18 to 24 years,"2,366,950","2,367,134","2,381,202","2,433,901","2,474,871","2,487,824","2,465,631","2,420,168","2,371,625","2,327,999","2,299,355","2,270,283"
...25 to 44 years,"5,839,221","5,839,621","5,845,087","5,871,110","5,916,197","5,974,080","6,058,069","6,147,327","6,239,840","6,337,362","6,430,032","6,521,910"
...45 to 64 years,"5,156,449","5,156,670","5,183,780","5,299,137","5,371,464","5,433,991","5,486,199","5,546,901","5,605,505","5,649,977","5,674,253","5,677,507"
..65 years and over,"2,117,090","2,117,291","2,131,119","2,190,561","2,283,400","2,379,325","2,483,817","2,596,670","2,713,096","2,824,719","2,942,246","3,069,948"
..85 years and over,"277,800","277,885","280,772","289,972","299,511","307,798","317,450","328,102","337,134","346,275","356,871","367,289"
,,,,,,,,,,,,
..16 years and over,"16,176,048","16,177,085","16,233,643","16,464,790","16,687,327","16,902,713","17,122,338","17,339,825","17,566,781","17,778,086","17,966,843","18,146,948"
..18 years and over,"15,479,710","15,480,716","15,541,188","15,794,709","16,045,932","16,275,220","16,493,716","16,711,066","16,930,066","17,140,057","17,345,886","17,539,648"
..15 to 44 years,"9,231,556","9,232,186","9,244,328","9,286,750","9,344,094","9,401,891","9,463,959","9,516,470","9,561,162","9,607,098","9,650,017","9,701,468"
,,,,,,,,,,,,
..Median age (years),33.7,33.7,33.7,33.9,34.1,34.4,34.6,34.9,35.1,35.4,35.6,35.9
.NOT HISPANIC,"37,922,522","37,926,254","38,013,471","38,379,378","38,756,150","39,117,317","39,488,757","39,862,578","40,231,299","40,568,433","40,860,704","41,147,488"
..Under 5 years,"2,780,317","2,780,330","2,779,550","2,774,793","2,752,259","2,730,659","2,730,760","2,737,947","2,738,279","2,731,612","2,711,876","2,684,389"
..5 to 9 years,"2,774,092","2,774,106","2,766,255","2,752,242","2,772,282","2,802,854","2,813,272","2,816,742","2,816,535","2,798,121","2,777,071","2,776,150"
..10 to 14 years,"2,933,239","2,933,297","2,931,586","2,927,549","2,904,391","2,870,476","2,843,682","2,805,034","2,793,529","2,815,847","2,846,710","2,856,810"
..15 to 19 years,"3,344,604","3,344,962","3,329,037","3,232,971","3,140,902","3,062,302","3,000,263","2,984,355","2,982,271","2,960,098","2,924,330","2,895,818"
..20 to 24 years,"3,018,973","3,019,391","3,053,271","3,196,550","3,326,242","3,415,251","3,441,972","3,391,243","3,296,732","3,205,293","3,124,585","3,060,213"
..25 to 29 years,"2,705,388","2,705,842","2,710,929","2,743,840","2,787,796","2,855,698","2,973,365","3,112,984","3,261,334","3,388,189","3,471,502","3,493,114"
..30 to 34 years,"2,554,981","2,555,407","2,572,658","2,636,388","2,687,145","2,732,097","2,753,692","2,765,431","2,803,012","2,846,802","2,912,531","3,026,581"
..35 to 39 years,"2,549,439","2,549,775","2,541,068","2,481,134","2,468,626","2,481,235","2,530,604","2,603,696","2,669,918","2,720,664","2,764,161","2,783,964"
..40 to 44 years,"2,611,613","2,611,970","2,608,142","2,616,874","2,624,549","2,613,228","2,590,329","2,547,425","2,491,222","2,477,601","2,488,035","2,533,979"
..45 to 49 years,"2,777,271","2,777,655","2,773,738","2,744,217","2,699,793","2,652,511","2,597,605","2,580,919","2,592,260","2,600,591","2,589,035","2,566,124"
..50 to 54 years,"2,651,736","2,652,028","2,661,426","2,694,682","2,705,201","2,717,223","2,721,612","2,706,716","2,679,456","2,636,587","2,590,828","2,537,690"
